LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Grota São Pedro,40,$25.05/lb,"$66,271.03","Saza Coffee, Ponpon Coffee, Tabei Coffee, Maruyama Coffee(Japan) Lucca cafes especiais(Brazil)"
2,Fazenda Serra do Boné,40,$12.10/lb,"$32,011.16","Kyokuto Fadie Corporation, Tashiro coffee, Time’s Club for C-COOP, Coffee Libre"
3,Serra das Três Barras,44,$11.20/lb,"$32,593.12",Orsir Coffee (Taiwan)
4,Fazenda Recreio,68,$8.06/lb,"$36,249.29",Kaffebrenneriet as
5,São Marcos,92,$8.05/lb,"$48,911.32",Cofi Com Trading Pty Ltd
6,Colina da Pedra,38,$8.55/lb,"$21,488.46","Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffee"
7,Sítio Bela Vista,38,$8.70/lb,"$21,942.18",NAGAHAMA COFFEE Inc.
8,Fazenda Santa Bárbara,38,$11.20/lb,"$28,123.87","Terarosa(Haksan Co.Ltd), Pohang Arabica"
9,Fazenda Paraíso,32,$8.05/lb,"$17,037.34","Mercanta The Coffee Hunters for Has Bean Coffee (UK), Rocket Coffee (NZ), Twoday Coffee Roasters (UK), Melbourne Coffee Merchants (AU) Giuli Co. Ltd. (TW), Café Knopes (BE), Åre Kafferosteri (SE), Da Matteo (SE), Johnny Javas (USA), Fonte Coffee Roaster"
10,Sertãozinho,40,$8.25/lb,"$22,007.62","Invalsa Coffee®(USA) and Richmond Investment (Korea), Olympia Coffee (USA), Moxxee Coffee (USA) & Rojo’s Roastery (USA)"
11,Sítio São José,32,$7.10/lb,"$15,026.72",Cofi Com Trading Pty Ltd
12,Fazenda Transwa l,38,$7.40/lb,"$18,598.20",Black Cat Kaffe og Tehus AS
13,Fazenda Santa Mariana,44,$7.55/lb,"$22,037.85",Douwe Egberts Australia
14,Paixão,46,$8.35/lb,"$25,403.87",M.I Coffee Corporation and ECOM Japan Limited
15,Sítio Rocinha,48,$7.40/lb,"$23,492.41","Coffeeplant,Momos Coffee,Coffee Factory"
16,Chácara Tijuco,34,$7.60/lb,"$17,073.48",Fazenda Camocim(Henrique Leivas Sloper de Araujo)
17,Fazenda Santa Lúcia,32,$8.00/lb,"$16,931.52",Blue Bottle Coffee Co.
18,Chacara São Judas Tadeu,44,$7.55/lb,"$21,954.65",Kyokuto Fadie Corporation
19,Fazenda Santa Alina,36,$7.10/lb,"$18,204.19","Wataru & Co., Ltd."
20,Fazenda Rainha,40,$7.05/lb,"$18,806.51","Wataru & Co., Ltd."
21,Sítio A. Santos do Altemir,32,$7.65/lb,"$16,173.86","Mercanta The Coffee Hunters for Melbourne Coffee Merchants (AU), Workhouse Coffee Company (UK)"
22,Sítio Cantinho da Serra,40,$5.60/lb,"$15,197.78",San Antonio Coffee Roasters
23,Fazenda do Sertão,34,$6.70/lb,"$15,066.36",Seven Seeds and Café Imports
24,Cachoeira Alta,63,$6.05/lb,"$25,208.78","Tashiro Coffee Co.,Ltd"
25,Santa Emiliana,40,$6.05/lb,"$16,005.58",Coffee Bean International for Target
26,Café Cambará,46,$6.80/lb,"$20,688.18","Wataru & Co., Ltd. and Proud Café Classificados (Rio de Janeiro, Brazil)"
27,Gleba Serra de Fátima,58,$6.01/lb,"$23,054.60",honuKATOCOFFEE Inc.
28,Sítio Grota Funda,40,$7.95/lb,"$23,100.24","Wataru & Co., Ltd. and Lucca Cafés Especiais (Curitiba, Brazil)"
29,Sítio Boa Vista,44,$7.95/lb,"$21,032.12",Cofi Com Trading Pty Ltd
30,Fazenda Senhor do Bonfim,37,$7.20/lb,"$18,079.63",Fazenda Camocim(Henrique Leivas Sloper de Araujo)
31,Fazenda Califórnia,38,$8.25/lb,"$20,734.48",Marubeni Corporation