Rank,Farm,Weight (lbs.),High Bid,Total Value,Company Name
1a,Fazenda Paie Filho,396.84,$60.10/lb,"$23,850.08","Maruyama Coffee, Goodboybob Coffee, Harrods"
1b,Fazenda Paie Filho,396.84,$50.80/lb,"$20,159.47",TAKAMURA COFFEE ROASTERS
2a,Fazenda Primavera,330.7,$30.50/lb,"$10,086.35","SAZA COFFEE, Maruyama Coffee, and PROUD MARY COFFEE"
2b,Fazenda Primavera,330.7,$25.10/lb,"$8,300.57","Time’s Club, Coffee Libre, Proud Mary, Coffee Me Up"
3a,Sítio São Sebastião,396.84,$12.90/lb,"$5,119.24",Wataru for Nozy Coffee
3b,Sítio São Sebastião,396.84,$13.00/lb,"$5,158.92",Kyokuto Fadie Corporation
4,Santuário Sul,661.4,$20.30/lb,"$13,426.42","Maruyama Coffee, SAZA COFFEE, Orsir Coffee(Taiwan)"
5,Fazenda Jaguara,793.68,$15.30/lb,"$12,143.30","Coffee Montage, 304 coffee roasters, Coffee Place, EL CAFE COFFEE ROASTERS, FEBRUARY ROASTERS, Jeju Be Brave"
6,Sítio d’Água Limpa,661.4,$10.51/lb,"$6,951.31",Time’s Club & PROUD MARY COFFEE
7,Fazenda Gerais,1322.8,$8.40/lb,"$11,111.52",Terarosa (Haksan Co. Ltd)
8,Sítio Portella,793.68,$8.50/lb,"$6,746.28","Wataru & Co., Ltd."
9,Fazenda Santo Antônio,793.68,$7.10/lb,"$5,635.13","cafe DAZAC, Eungubiro Roasters, Crema Costa"
10,Fazenda Aterradinho,793.68,$8.10/lb,"$6,428.81",Dabov Specialty Coffee & Ascension Coffee Roasters
11,Fazenda Volta da Serra,925.96,$8.90/lb,"$8,241.04",BEANBROTHERS
12,Ecoagrícola Café Ltda,793.68,$16.00/lb,"$12,698.88",Sarutahiko Coffee Inc.
13,Sítio Lagoa II,727.54,$7.00/lb,"$5,092.78","Wataru & Co., Ltd."
14,Sítio dos Colis,727.54,$7.00/lb,"$5,092.78","Wataru & Co., Ltd."
15,Fazenda Mantissa,727.54,$9.10/lb,"$6,620.61",Mercanta Ltd
16,Fazenda Sertãozinho,925.96,$10.60/lb,"$9,815.18",Ecom Japan Limited
17,Fazenda Paraíso,793.68,$11.90/lb,"$9,444.79",TAKAMURA COFFEE ROASTERS
18,Fazenda Dona Neném,793.68,$8.40/lb,"$6,666.91",Kaffebrenneriet As
19,Fazenda Zaroca,1058.24,$9.00/lb,"$9,524.16","Wataru & Co., Ltd."
20,Fazenda Fortaleza,793.68,$10.10/lb,"$8,016.17","TOA COFFEE Co.,Ltd."
21,Fazenda Camocim,793.68,$8.00/lb,"$6,349.44",Kyokuto Fadie Corporation
22,Sítio Santa Terezinha,992.1,$7.70/lb,"$7,639.17",Honu Kato Coffee Inc.
23,Fazenda Barreiro,793.68,$7.10/lb,"$5,635.13","Wataru & Co., Ltd."
24,Sítio Fortaleza,727.54,$8.00/lb,"$5,820.32",cosmetocafe
25,Sítio dos Estouros,793.68,$7.10/lb,"$5,635.13","Wataru & Co., Ltd."
26,Fazenda Santa Mônica,793.68,$8.70/lb,"$6,905.02","Mercanta The Coffee Hunters, Alchemist Singapore, Artisan Roast Scotland, Dark Woods Coffee England, Micro Coffee Roasters China"
27,Nascentes da Grama,793.68,$7.00/lb,"$5,555.76","Wataru & Co., Ltd."