RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING
1a,3,LA CUMBRE,MARGARITA LUCIA DIAZ DE LOPEZ,"SANTA ANA, APANECA-ILAMATEPEC",91.8,GEISHA,Natural
1b,3,LA CUMBRE,MARGARITA LUCIA DIAZ DE LOPEZ,"SANTA ANA, APANECA-ILAMATEPEC",91.8,GEISHA,Natural
2a,4,EL MANZANO,MARGARITA LUCIA DIAZ DE LOPEZ,"SANTA ANA, APANECA-ILAMATEPEC",91.6,GEISHA,Natural
2b,3,EL MANZANO,MARGARITA LUCIA DIAZ DE LOPEZ,"SANTA ANA, APANECA-ILAMATEPEC",91.6,GEISHA,Natural
3a,5,SANTA ROSA,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, ALOTEPEC-METAPAN",90.57,PACAMARA,Honey
3b,4,SANTA ROSA,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, ALOTEPEC-METAPAN",90.57,PACAMARA,Honey
4a,9,MILEYDI,EVER LEONEL DIAZ PEREZ,"CHALATENANGO, ALOTEPEC-METAPAN",90,PACAMARA,Washed
4b,9,MILEYDI,EVER LEONEL DIAZ PEREZ,"CHALATENANGO, ALOTEPEC-METAPAN",90,PACAMARA,Washed
5,9,SAN JOSE 1,"MONTANA ESTATES, S.A. DE C.V.","SONSONATE, APANECA-ILAMATEPEC",89.4,GEISHA,Natural
6,14,SANTA ROSA,"AGRICAFE, S.A. DE C.V.","USULUTAN, TECAPA CHINAMECA",89.33,PACAMARA,Honey
7,11,NUEVA GRANADA / HAMBURGO,Roberto Huezo/Gloria Rodriguez,"AHUACHAPAN, APANECA-ILAMATEPEC",89.23,BOURBON ELEFANTE,Honey
8,16,TOPACIO,MARIA ELENA AVILA DE MUYSHONDT,"SONSONATE, APANECA-ILAMATEPEC",89.03,PACAMARA,Natural
9,9,LA FINCONA,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, ALOTEPEC-METAPAN",89,PACAMARA,Washed
10,27,EL CONRRODAL,JOSE ARMANDO PORTILLO PERAZA,"CHALATENANGO, ALOTEPEC-METAPAN",88.5,PACAMARA,Honey
11,11,DIVINA PROVIDENCIA TABLON EL CARMEN,ROBERTO SAMUEL ULLOA VILANOVA,"SANTA ANA, APANECA-ILAMATEPEC",88.07,SL-28,Honey
12,14,LA TRILLA,SANTOS ARNULFO DIAZ DIAZ,"CHALATENANGO, ALOTEPEC-METAPAN",88.03,PACAMARA,Honey
13,14,SAN JOSE 2,"MONTANA ESTATES, S.A. DE C.V.","SONSONATE, APANECA-ILAMATEPEC",88,PACAMARA,Washed
14,6,CAYAGUANCA,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, ALOTEPEC-METAPAN",87.9,PACAMARA,Natural
15,14,LAS PALMAS,"AGRICAFE, S.A. DE C.V.","USULUTAN, TECAPA CHINAMECA",87.8,"BOURBON, PACAS",Washed
16,25,LA MONTAÑITA,ANTONIO RENE AGUILAR LEMUS,"CHALATENANGO, ALOTEPEC-METAPAN",87.53,PACAMARA,Honey
17,24,EL OPTIMISMO,LUCIA MARTINEZ DE ZEPEDA,"USULUTAN, TECAPA CHINAMECA",87.4,BOURBON,Washed
18,49,LA CONCORDIA,"AGROPECUARIA LA CONCORDIA, S.A. DE C.V.","LA LIBERTAD, EL BALSAMO-QUEZALTEPEQUE",87.33,BOURBON,Washed
19,14,LA GUATUZA,"AGRICAFE, S.A. DE C.V.","USULUTAN, TECAPA CHINAMECA",87.27,PACAS,Washed
20,10,MILAGRO EL CERRO,ATILIO ZEPEDA MAGAÑA,"AHUACHAPAN, APANECA-ILAMATEPEC",87.17,PACAMARA,Honey
21,15,SAN EMILIO,"GOLAGRI, S.A. DE C.V.","LA LIBERTAD, EL BALSAMO-QUEZALTEPEQUE",87.17,BOURBON,Washed
22,13,LOS PIRINEOS,"AGRICAFE, S.A. DE C.V.","USULUTAN, TECAPA CHINAMECA",87.13,PACAMARA,Honey
23,12,BUENA FE,JORGE ALBERTO RECINOS RODRIGUEZ,"CHALATENANGO, ALOTEPEC-METAPAN",87.07,PACAMARA,Honey
24,12,LA CUMBRE,"AGRICAFE, S.A. DE C.V.","USULUTAN, TECAPA CHINAMECA",86.97,BOURBON,Washed
25,15,LOS ROBLES,HECTOR MANUEL VELASQUEZ GUZMAN,"SAN SALVADOR, ALOTEPEC-METAPAN",86.93,PACAMARA,Washed
26,26,PEÑA REDONDA,CARLOS MAURICIO LEMUS LANDAVERDE,"CHALATENANGO, EL BALSAMO-QUEZALTEPEQUE",86.93,PACAMARA,Honey
27,33,LAS DELICIAS,"CAFINO, S.A. DE C.V.","SANTA ANA, APANECA-ILAMATEPEC",86.9,"PACAMARA, SL-28",Natural
28,10,LOS TRES POTROS,NORA SILVIA CABEZAS DE MENDEZ,"AHUACHAPAN, APANECA-ILAMATEPEC",86.8,PACAMARA,Natural
29,13,ESQUIPULAS,FERNANDO LIMA Y COMPAÑIA,"SANTA ANA, APANECA-ILAMATEPEC",86.67,BOURBON,Washed
30,15,LA GUACHOCA,"EXPORTADORA PACAS MARTINEZ, S.A. DE C.V.","SANTA ANA, APANECA-ILAMATEPEC",86.47,RED BOURBON,Natural
31,9,COLOMBIA,RAFAEL GERARDO CACERES CHAVEZ,"SANTA ANA, APANECA-ILAMATEPEC",86.43,PACAMARA,Natural
32,17,LAS LADERAS,"ZAPOTAL, SOCIEDAD ANONIMA DE CAPITAL VARIABLE.","SANTA ANA, APANECA-ILAMATEPEC",86.4,PACAMARA,Washed
33,16,NAZARETH,MARIO ERNESTO ACOSTA OERTEL,"AHUACHAPAN, APANECA-ILAMATEPEC",86.37,BOURBON,Natural
34,15,LA DALIA,CARLOS ROBERTO JESUS DE PRAGA GUILLEN CHACON,"AHUACHAPAN, APANECA-ILAMATEPEC",86.37,PACAMARA,Natural
35,15,ATZUMPA,ANDRES ARTURO ACOSTA RODRIGUEZ,"AHUACHAPAN, APANECA-ILAMATEPEC",86.37,BOURBON,Natural
36,15,LA ESMERALDA 1,OSCAR ROBERTO MURGAS LINARES,"AHUACHAPAN, APANECA-ILAMATEPEC",86.33,PACAMARA,Honey
37,21,HIMALAYA,MAURICIO ARTURO SALAVERRIA CACERES,"AHUACHAPAN, APANECA-ILAMATEPEC",86.23,"PACAMARA, MARAGOGYPE",Natural
38,10,SAN CARLOS II/EL CORO,ASOCIACION COOPERATIVA DE PRODUCCION AGROPECUARIA SAN CARLOS DOS DE R.L.,"MORAZAN, CACAHUATIQUE",86.1,PACAMARA,Honey